open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,name,exchange_code,asset_type,price_currency,symbol,exchange,date
95.94,97.78,94.93,97.25,21612200.0,97.78,94.93,97.25,95.94,21639860.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-04-30T00:00:00+0000
97.02,97.9,96.59,97.41,13152200.0,97.9,96.59,97.41,97.015,13171784.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-01T00:00:00+0000
97.95,99.22,97.85,98.75,16026900.0,99.22,97.85,98.75,97.95,16031373.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-02T00:00:00+0000
98.94,99.74,98.53,99.33,9183475.0,99.74,98.53,99.33,98.94,12439132.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-05T00:00:00+0000
98.74,99.47,98.4128,98.55,10583698.0,99.47,98.41,98.55,98.74,10625999.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-06T00:00:00+0000
98.55,99.23,98.31,98.83,11301300.0,99.2308,98.31,98.83,98.55,11310191.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-07T00:00:00+0000
98.75,99.33,97.355,97.43,14430669.0,99.33,97.355,97.195,98.75,14461119.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-08T00:00:00+0000
96.75,97.2,96.29,96.72,13692100.0,97.2,96.29,96.72,96.75,13697822.0,1.0,0.235,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-09T00:00:00+0000
97.67,97.97,95.62,96.75,26637375.0,97.97,95.62,96.75,97.67,26783925.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-12T00:00:00+0000
96.5,97.32,95.23,95.88,19717500.0,97.32,95.225,95.88,96.5,19746658.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-13T00:00:00+0000
96.03,97.33,95.83,96.83,25503000.0,97.33,95.83,96.83,96.025,25620110.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-14T00:00:00+0000
94.3,96.72,91.89,96.35,44010400.0,96.72,91.89,96.35,94.3,44026125.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-15T00:00:00+0000
96.14,99.19,96.0,98.24,33708300.0,99.1946,95.995,98.24,96.14,33746187.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-16T00:00:00+0000
96.65,98.28,95.81,98.12,20007600.0,98.28,95.81,98.12,96.65,20041573.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-19T00:00:00+0000
98.56,98.82,96.52,97.8,15600100.0,98.8183,96.52,97.8,98.555,15609610.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-20T00:00:00+0000
97.125,97.7556,95.975,96.43,13492594.0,97.7556,95.975,96.43,97.125,15742336.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-21T00:00:00+0000
96.54,96.96,95.82,95.93,13694600.0,96.96,95.815,95.93,96.54,13712163.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-22T00:00:00+0000
95.34,96.54,95.0,96.34,13668621.0,96.54,95.0,96.34,95.34,13668621.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-23T00:00:00+0000
97.3,97.8,96.58,97.58,17178100.0,97.795,96.58,97.58,97.3,17180937.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-27T00:00:00+0000
97.52,98.24,97.06,97.24,11105300.0,98.24,97.06,97.24,97.52,11220098.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-28T00:00:00+0000
97.63,97.77,96.85,97.1,14338000.0,97.77,96.8509,97.1,97.63,14343738.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-29T00:00:00+0000
96.96,98.93,96.6,98.72,29969600.0,98.93,96.6,98.72,96.96,29980069.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-05-30T00:00:00+0000
98.84,99.905,98.05,99.77,14296678.0,99.905,98.05,99.77,98.84,16999205.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-06-02T00:00:00+0000
99.565,100.89,98.57,99.98,15577777.0,100.89,98.57,99.98,99.565,15598643.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-06-03T00:00:00+0000
99.79,100.13,99.32,99.35,11112100.0,100.13,99.32,99.35,99.79,11115649.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-06-04T00:00:00+0000
99.3,99.59,97.61,97.96,15817100.0,99.59,97.605,97.96,99.295,15825276.0,1.0,0.0,Walmart Inc,NYSE,Stock,USD,WMT,XNYS,2025-06-05T00:00:00+0000
